Product Name,Product Description,Category,ProductCode,SKU,Media Standard Url 1,Media Standard AltText 1,Price (sales) USD,Price (original) USD,Product isActive
"GoBrew French Roast Whole Bean, 16 oz bag",Alpine Blends GoBrew French Roast Whole Bean Coffee in 16 oz recyclable bag. Great value 100% Arabic French Roast Dark Ground Coffee showcases a rich blend of Arabica beans that are dark roasted for a deep captivating flavor.,Drinks/Coffee,6010002,6010002,https://s3.amazonaws.com/northerntrailoutfitters.com/nto-alpine-nutrition/default/images/large/alpine-blends-gobrew-coffee-wholebean-frenchroast.jpg,"GoBrew French Roast Whole Bean, 16 oz bag",13.99,19.99,TRUE
"GoBar Hi Protein, 2oz 12 Pack",Hi-Protein GoBars are an athletes favorite with it unique taste and healthy composition.,Energy/Energy Bars,6010003,6010003,https://s3.amazonaws.com/northerntrailoutfitters.com/nto-alpine-nutrition/default/images/large/BarsBoxof6_Go_GreenTea_Large.png,"GoBar Hi Protein, 2oz 12 Pack",22.5,24.99,TRUE
"GoBrew Moca MCT + Protein Vegetarian, 6 oz can - 6 pack","Alpine Blends GoBrew Mocha Coffee in 6 oz can. Great value Coffee and mocha flavored brew is a pre or post workout drink loaded with protein, natural chocolate, aminos, premium flax and 3 carbs.",Drinks/Coffee,6010006,6010006,https://s3.amazonaws.com/northerntrailoutfitters.com/nto-alpine-nutrition/default/images/large/alpine-blends-gobrew-moca.jpg,"GoBrew Moca MCT + Protein Vegetarian, 6 oz can - 6 pack",13.99,19.99,TRUE
Alpine Energy CO2 Cartridge for Smart Dispenser - 24 Pack,Alpine Energy C02 Cartridge for use with Alpine Smart Dispensers. Put a little fizz in Alpine Energy beverages. Perfect for beverage dispensing on the go!,Drinks/Energy Drinks,6010007,6010007,https://s3.amazonaws.com/northerntrailoutfitters.com/nto-alpine-nutrition/default/images/large/alpine_energy_product_co2-cartridge.jpg,Alpine Energy CO2 Cartridge for Smart Dispenser - 24 Pack,55.5,59.99,TRUE
"Alpine Energy During Eco Pod, Chai","One box of Alpine Energy During Workout single serve, compostable Eco Pods. Chai Flavor.",Drinks/Energy Drinks,6010018,6010018,https://s3.amazonaws.com/northerntrailoutfitters.com/nto-alpine-nutrition/default/images/large/alpine_energy_product_ecopod-chai.jpg,"Alpine Energy During Eco Pod, Chai",11.5,12.99,TRUE
"GoBar Cranberry Hi Protein, 2oz - 6 pack",Hi-Protein Cranberry flavored GoBars are an athletes favorite with it unique taste and healthy composition.,Energy/Energy Bars,6010026,6010026,https://s3.amazonaws.com/northerntrailoutfitters.com/nto-alpine-nutrition/default/images/large/alpine-energy-goBAR-cranberry.jpg,"GoBar Cranberry Hi Protein, 2oz - 6 pack",11.5,12.99,TRUE
Alpine Energy Premium Smart Dispenser,"Alpine has reinvented your countertop with a premium energy drink smart dispenser for single-serve beverages. Calling all athletes, reduce your plastics waste now.",Machines/Smart Dispenser,6010039,6010039,https://s3.amazonaws.com/northerntrailoutfitters.com/nto-alpine-nutrition/default/images/large/alpine_energy_product_smart-dispenser02.jpg,Alpine Energy Premium Smart Dispenser,309.99,309.99,TRUE
GoBrew Connected Coffee Machine,Alpine GoBrew Connected Coffee Machine with all the benefits of connectivity. A smarter way to start your day.,Machines/Coffee Machine,6010042,6010042,https://s3.amazonaws.com/northerntrailoutfitters.com/nto-alpine-nutrition/default/images/large/go-brew.jpg,GoBrew Connected Coffee Machine,299.99,315.99,TRUE
"BigfootBar Blueberry/Pistacio Paleo, 2oz bar - 6 pack","Alpine's Bigfootbar is no hoax. The energy bar that tastes light with a fruity blueberry flavor, but is packed with powerful nutrition. Paleo philosophy a healthier choice. Contains pistacio nuts, natural fruit, and whole unprocessed foods.",Energy/Energy Bars,6010045,6010045,https://s3.amazonaws.com/northerntrailoutfitters.com/nto-alpine-nutrition/default/images/large/alpine-nutrition-bigfoot-blueberrypistacio.jpg,"BigfootBar Blueberry/Pistacio Paleo, 2oz bar - 6 pack",22.5,22.5,TRUE
"YetiBar Blueberry/Bison Paleo, 2oz bar - 6 pack","This Yeti is a bit wild, yet something to worship. Yetibar made from grass-fed bison, but with a blueberry flavor. Paleo philosophy a healthier choice with a protein boost to aid in your recorvery regimen. Contains nuts, whole unprocessed foods.",Energy/Energy Bars,6010051,6010051,https://s3.amazonaws.com/northerntrailoutfitters.com/nto-alpine-nutrition/default/images/large/alpine-nutrition-yeti-blueberrybison.jpg,"YetiBar Blueberry/Bison Paleo, 2oz bar - 6 pack",22.5,22.5,TRUE
